,img_name,age,race,gender
0,49_1_0_20170109221146542.jpg.chip.jpg,0.4224138,0,1
1,42_0_0_20170117185757210.jpg.chip.jpg,0.36206895,0,0
2,25_1_1_20170112215304176.jpg.chip.jpg,0.21551724,1,1
3,12_1_0_20170109193530060.jpg.chip.jpg,0.10344828,0,1
4,55_0_0_20170117190028027.jpg.chip.jpg,0.47413793,0,0
5,52_1_3_20170105003248564.jpg.chip.jpg,0.44827586,3,1
6,80_1_0_20170110141417728.jpg.chip.jpg,0.6896552,0,1
7,33_1_0_20170105183847334.jpg.chip.jpg,0.28448275,0,1
8,27_0_2_20170116171028124.jpg.chip.jpg,0.23275863,2,0
9,14_0_2_20170104013318514.jpg.chip.jpg,0.12068965,2,0
10,25_1_1_20170116003425155.jpg.chip.jpg,0.21551724,1,1
11,22_1_3_20170104231706746.jpg.chip.jpg,0.18965517,3,1
12,28_0_0_20170117180520264.jpg.chip.jpg,0.2413793,0,0
13,32_1_0_20170109141918401.jpg.chip.jpg,0.27586207,0,1
14,5_1_2_20161219205338333.jpg.chip.jpg,0.04310345,2,1
15,35_1_2_20170116191708474.jpg.chip.jpg,0.30172414,2,1
16,2_1_2_20161219151414451.jpg.chip.jpg,0.01724138,2,1
17,27_0_0_20170117120426927.jpg.chip.jpg,0.23275863,0,0
18,44_0_0_20170117155532055.jpg.chip.jpg,0.37931034,0,0
19,45_1_3_20170119162710051.jpg.chip.jpg,0.38793105,3,1
20,60_0_0_20170111202416395.jpg.chip.jpg,0.51724136,0,0
21,10_0_0_20170110220251986.jpg.chip.jpg,0.0862069,0,0
22,88_1_0_20170110183140329.jpg.chip.jpg,0.7586207,0,1
23,46_0_0_20170117190143691.jpg.chip.jpg,0.39655173,0,0
24,41_0_2_20170116192329504.jpg.chip.jpg,0.35344827,2,0
25,31_1_1_20170114031659379.jpg.chip.jpg,0.2672414,1,1
26,27_0_0_20170104172424772.jpg.chip.jpg,0.23275863,0,0
27,32_0_2_20170116191444550.jpg.chip.jpg,0.27586207,2,0
28,35_1_1_20170117154025584.jpg.chip.jpg,0.30172414,1,1
29,55_0_0_20170117170523803.jpg.chip.jpg,0.47413793,0,0
